id,year,season,number
1,2009,FALL,1098
2,2009,SPRING,1092
3,2009,SUMMER,1096
4,2010,FALL,1108
5,2010,JANUARY,1101
6,2010,SPRING,1102
7,2010,SUMMER,1106
8,2011,FALL,1118
9,2011,JANUARY,1111
10,2011,SPRING,1112
11,2011,SUMMER,1116
12,2012,FALL,1128
13,2012,JANUARY,1121
14,2012,SPRING,1122
15,2012,SUMMER,1126
16,2013,FALL,1138
17,2013,JANUARY,1131
18,2013,SPRING,1132
19,2013,SUMMER,1136
20,2014,FALL,1148
21,2014,JANUARY,1141
22,2014,SPRING,1142
23,2014,SUMMER,1146
24,2015,FALL,1158
25,2015,JANUARY,1151
26,2015,SPRING,1152
27,2015,SUMMER,1156
28,2016,FALL,1168
29,2016,JANUARY,1161
30,2016,SPRING,1162
31,2016,SUMMER,1166
32,2017,FALL,1178
33,2017,JANUARY,1171
34,2017,SPRING,1172
35,2017,SUMMER,1176
36,2018,FALL,1188
37,2018,JANUARY,1181
38,2018,SPRING,1182
39,2018,SUMMER,1186
40,2019,FALL,1198
41,2019,JANUARY,1191
42,2019,SPRING,1192
43,2019,SUMMER,1196
44,2020,FALL,1208
45,2020,JANUARY,1201
46,2020,SPRING,1202
47,2020,SUMMER,1206
48,2021,JANUARY,1211
49,2021,SPRING,1212
50,2021,SUMMER,1216
51,2021,FALL,1218
52,2022,SPRING,1222
53,2022,SUMMER,1226
54,2022,FALL,1228
55,2023,SPRING,1232
56,2023,JANUARY,1231
57,2023,SUMMER,1236
58,2023,FALL,1238
59,2024,JANUARY,1241
60,2024,SPRING,1242
